NEO_flag,One_km_NEO_flag,PHA_flag,H,G,Num_obs,rms,U,Arc_years,Perturbers,Perturbers_2,Number,Name,Principal_desig,Other_desigs,Epoch,M,Peri,Node,i,e,n,a,Ref,Num_opps,Computer,Hex_flags,Last_obs,Tp,Orbital_period,Perihelion_dist,Aphelion_dist,Semilatus_rectum,Synodic_period,Orbit_type
,,,19.5,0.15,59.0,0.15,1,2011-2015,M-v,38h,,,2015 PH264,,2459000.5,55.42541,8.96225,323.94526,6.89871,0.3619664,0.24085194,2.5584049,MPO353727,2,MPCW,0005,2015-10-03,2458770.37763,4.0921724,1.6323483,3.4844615,1.1116018,1.3233972,Object with perihelion distance < 1.665 AU
,,,16.4,0.15,454.0,0.42,0,1999-2019,M-v,38h,(119221),,2001 QS214,,2459200.5,22.17864,170.23676,226.40018,0.44319,0.1881006,0.26358758,2.4090885,MPO475047,13,MPCLINUX,0000,2019-07-07,2459116.35853,3.7392038,1.9559375,2.8622395,1.1619253,1.3650696,MBA
,,,18.3,0.15,37.0,0.26,1,2006-2016,M-v,38h,,,2006 XP76,,2459000.5,337.13024,234.55435,253.84095,5.50518,0.2511687,0.22141363,2.7060334,MPO512735,3,Veres,0000,2016-01-04,2459103.78977,4.4514319,2.0263625,3.3857043,1.2676607,1.2897348,MBA
,,,16.9,0.15,108.0,0.27,0,2008-2020,M-v,38h,,,2015 VL116,,2459200.5,18.47528,314.97716,52.13416,10.9683,0.1477901,0.18850982,3.0124053,E2020-XE5,6,MPCLINUX,0400,2020-12-12,2459102.493,5.2284156,2.5672016,3.457609,1.4733043,1.2364952,MBA
,,,18.4,0.15,58.0,0.36,2,2010-2018,M-v,38h,,,2014 SV257,,2459000.5,138.59429,320.69813,37.31157,6.50531,0.272363,0.23667913,2.5883882,MPO456940,3,MPCLINUX,0000,2018-09-16,2458414.92109,4.1643202,1.883407,3.2933694,1.1981887,1.3160236,MBA
,,,18.7,0.15,32.0,0.27,3.0,,M-v,38h,,,2018 SJ16,,2459000.5,128.43215,169.94052,235.73058,11.62905,0.2449954,0.22340821,2.6899031,MPO524386,1,Veres,2000,2018-12-04,2458425.62338,4.4116896,2.0308892,3.348917,1.2642239,1.2931099,MBA
,,,17.39,0.15,193.0,0.51,0,1999-2020,M-v,3Ek,(173333),,1999 VK217,,2459200.5,67.79132,207.50733,64.0803,3.2308,0.0521598,0.27478432,2.3431931,E2021-B55,13,Pan,0000,2020-08-23,2458953.7926,3.586841,2.2209726,2.4654136,1.1684091,1.3865719,MBA
,,,16.86,0.15,439.0,0.57,0,2001-2020,M-v,3Ek,(260480),,2005 CZ18,,2459200.5,42.97173,228.5174,305.02383,2.39715,0.140864,0.26071377,2.4267595,E2021-B55,13,Pan,0000,2020-04-21,2459035.67656,3.7804205,2.0849164,2.7686026,1.1893031,1.3596578,MBA
,,,17.7,0.15,65.0,0.41,2.0,1995-2016,M-v,38h,,,2011 UO242,,2459000.5,218.40924,175.42678,237.04531,9.9318,0.289983,0.18414696,3.0597998,MPO543751,3,Rudenko,0000,2016-12-01,2459769.40113,5.3522885,2.1725099,3.9470897,1.4012504,1.2297642,MBA
,,,17.3,0.15,136.0,0.3,0,2011-2020,M-v,38h,(491177),,2011 UH28,,2459200.5,52.51981,61.13221,21.64387,12.88014,0.1312347,0.24028753,2.5624097,MPO535481,5,MPCW,0000,2020-01-28,2458981.92929,4.1017846,2.2261326,2.8986868,1.2591392,1.322395,MBA
,,,17.48,0.15,163.0,0.54,0,2005-2020,M-v,3Ek,(482464),,2012 JL62,,2459200.5,124.06851,290.35827,252.81629,18.86714,0.0959102,0.37226976,1.9138044,E2021-B25,7,Pan,0006,2020-08-19,2458867.22413,2.6475631,1.730251,2.0973578,0.9480999,1.606957,Hungaria
,,,17.1,0.15,342.0,0.33,0,1996-2020,M-v,38h,(197883),,2004 RO16,['2006 BS109'],2459200.5,176.64107,251.17308,95.52593,3.06501,0.172275,0.2719395,2.3595066,MPO533292,12,MPCW,0000,2020-01-23,2458550.93982,3.6243639,1.9530226,2.7659906,1.1447398,1.3810447,MBA
,,,16.1,0.15,118.0,0.34,0.0,2002-2020,M-v,38h,,,2005 XK125,,2459200.5,120.62823,327.97069,239.80239,13.50037,0.2288039,0.17493242,3.1663277,E2020-SG3,9,MPCLINUX,0400,2020-09-22,2458510.92946,5.6342199,2.4418596,3.8907958,1.5002833,1.2157861,MBA
,,,18.17,0.15,122.0,0.46,0,2005-2020,M-v,3Ek,(397858),,2008 TD115,,2459200.5,214.3797,61.97436,308.35906,5.17298,0.19226,0.2894094,2.2635719,E2021-B25,7,Pan,0000,2020-02-27,2459703.66368,3.4055828,1.8283776,2.6987662,1.0899507,1.4156997,MBA
,,,17.1,0.15,173.0,0.32,0,1996-2019,M-v,38h,(322438),,2011 SD257,,2459200.5,9.87982,128.87166,344.0439,2.72595,0.1743932,0.23618758,2.5919782,MPO494706,8,Williams,0000,2019-10-05,2459158.66959,4.1729869,2.1399548,3.0440016,1.2565742,1.3151605,MBA
,,,16.4,0.15,469.0,0.4,0,1998-2019,M-v,38h,(108240),,2001 HE44,,2459200.5,179.69923,112.72822,118.45364,1.79061,0.1096871,0.27767102,2.3269248,MPO474952,14,MPCLINUX,0000,2019-07-05,2458553.334,3.5495518,2.0716912,2.5821584,1.1494645,1.3922258,MBA
,,,16.69,0.15,92.0,0.61,0,2003-2020,M-v,3Ek,(500619),,2012 UH149,,2459200.5,100.7281,106.47771,19.55537,10.07876,0.1940166,0.17705105,3.1410176,E2021-B25,9,Pan,0000,2020-05-23,2458631.57862,5.5667992,2.531608,3.7504272,1.511391,1.2189717,MBA
,,,12.0,0.15,805.0,0.45,0,1986-2019,M-v,38h,(55571),,2002 CP82,,2459200.5,61.48446,164.61177,148.75643,12.07198,0.0863684,0.08350138,5.184103,MPO526487,24,Williams,0009,2019-12-08,2458464.17063,11.8034899,4.7363603,5.6318457,2.5727161,1.0925627,Jupiter Trojan
,,,15.81,0.15,210.0,0.59,0,2000-2020,M-v,3Ek,(431263),,2006 UV44,,2459200.5,358.6092,182.58122,50.16392,27.45473,0.0617625,0.1745045,3.1715019,E2021-B25,8,Pan,0000,2020-05-19,2459208.47,5.6480361,2.975622,3.3673818,1.5797019,1.2151446,MBA
